#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-05-18 04:27:29
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-05-18 13:11:07 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 769 453
2020-05-18 13:11:08 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 766 421
2020-05-18 13:11:08 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 421
2020-05-18 13:11:08 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 437
2020-05-18 13:11:10 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 437
2020-05-18 13:11:10 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 421
2020-05-18 13:11:11 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 468
2020-05-18 13:11:11 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 437
2020-05-18 13:11:11 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 767 437
2020-05-18 13:11:12 W3SVC1222 JASMINE 143.95.251.7 POST /xmlrpc.php - 80 - 52.247.69.242 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.132+Safari/537.36 - elainesamworth.org 200 0 0 592 765 437
